Name, TOI, IAR, ICR, IED, SFF, DODD, ABR
"Montessori Academy Additions",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Newell, Elizabeth 1676 New Holland Pike","Standard","2007-11-02","2007-11-02","2008-09-01","0","1990-01-01","1990-01-01"
"CarMax Store #7233","State Road","2008-07-10","2011-04-19","2011-07-01","0","2013-03-06","2012-12-06"
"Towne Centre at Wetherburn - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"2257 Lititz Pk Subdivision (Harris Tract)","Standard","2008-09-04","2012-05-23","2013-08-16","0","1990-01-01","1990-01-01"
"216 Ironstone Ridge Rd. Subdivision","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"3790 Marietta Avenue-David Kline 1 Lot Subdivision","State Road","2008-08-07","2008-08-28","2012-04-29","0","1990-01-01","1990-01-01"
"Mennonite Home Renovations",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stonehenge Reserve PHASE 1","Standard","2010-03-26","2010-02-25","2010-08-01","0","2013-04-03","2011-07-27"
"Park Plaza Hotel - Renovations",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"John R Shaeffer Inc (DBA Exxon Carwash)",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Springbrook Annex Subdivision","Township Road","2009-05-22","2009-04-20","2010-01-01","0","2010-03-30","1990-01-01"
"Haydn Manor Phase 1","Township Road","2009-06-17","2009-06-17","2010-07-01","0","2014-04-29","2010-05-05"
"Papetti Holding Co Tract",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"1111 Erbs Quarry Road (Paul Brown)","Standard","2008-02-29","2008-03-03","2009-07-01","0","2008-09-03","2008-08-14"
"Hempfield Crossing Phase 2","Standard","2010-03-09","2010-03-11","2014-10-01","0","2010-08-31","2010-08-04"
"Parkfield - Phase 3","Standard","2012-05-29","2014-04-21","2015-04-14","0","2013-10-04","2013-08-16"
"Old Delp Road Drainage Improvements",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Laurelfield",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"RLPS Architects Office Bldg","Standard","2011-11-04","2011-11-07","2012-10-06","0","2013-04-04","2013-03-05"
"Nolt, Frank (lot @ 1023 Fruitville Pk)","Standard","2008-08-26","2008-08-27","2009-08-01","0","1990-01-01","1990-01-01"
"Bucher Elementary School addition","Standard","2009-01-29","2009-01-23","2010-12-01","0","1990-01-01","1990-01-01"
"1219 Stevens St - from Septic to Sewer","Township Road","2008-06-24","2008-06-24","2009-03-22","0","1990-01-01","1990-01-01"
"Bent Creek Tennis Court / Pro Shop",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Newcomer, Earl & Ruth Subdivision","Standard","2008-08-18","2008-08-21","2012-10-06","0","1990-01-01","1990-01-01"
"Kline&#039s Services, Inc. - Office Building",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brethren Village Maintenance Bldg on east side",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Cheswicke Towne Center - Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Kline&#039s Services, Inc. - Food to Fuel Building",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster General Focused Expansion at Women & Babies Hospital",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Hess 3868 Columbia Avenue - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Worthington (Rockview) Subdivision - Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Young, Steven & Jennifer",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Dairy Road Site Subdivision",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Penn Cinema Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Cheswicke Towne Center - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"1573 Linden Ave Lot","Township Road","2008-06-13","2008-06-13","2009-08-24","0","1990-01-01","1990-01-01"
"Miller J.A. & W.N. Family Limited Partnership",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Wheatland Federal Credit Union",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Granite Run Town Center",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Marietta Ave 2 Existing Dwellings to Connect (3212 & 3228 Marietta Ave)","State Road","2011-04-28","2011-04-28","2012-01-23","0","1990-01-01","1990-01-01"
"141 Manor Church Rd & 2 Sparrow Ln","Township Road","2008-08-14","2008-08-14","2008-10-06","0","2010-03-30","2008-12-30"
"Garber Scale & Calibration","Standard","2009-06-30","2009-06-30","2011-08-14","0","1990-01-01","1990-01-01"
"Overlook Park Golf Maintenance Bldg","Standard","2009-02-09","2009-02-11","2010-10-01","0","1990-01-01","1990-01-01"
"Moove In Storage",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Alpha Charlie Hangar",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Norfolk Southern Dillerville Yard East @ F&M College","State Road","2013-07-16","2013-07-16","2013-10-01","0","1990-01-01","1990-01-01"
"The Village at Funk&#039s Farm - Residential",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"The Village at Funk&#039s Farm - Commercial",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"West Hempfield Fire & Rescue New Emergency Services Complex","State Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Providence Heights",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"LCSWMA Parcel Remediation Temporary Sewer Connection",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Danz Property @ 311 E. Oregon Rd.","State Road","2008-12-29","2009-01-05","2009-08-01","0","1990-01-01","1990-01-01"
"The Oaks II","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Long, David @ 525 Koser Rd - Septic to Sewer","Township Road","2009-01-15","2009-02-09","2009-10-06","0","1990-01-01","1990-01-01"
"Manheim Township Library",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stauffer Park New Restroom Facility",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"2363 Oregon Pike","State Road","2010-01-22","2010-01-22","2010-12-31","0","2011-03-02","2011-02-08"
"Lancaster Contact Lens Inc",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Giant Food Store #39 @ Lancaster Shopping Center","State Road","2010-03-30","2010-03-26","2010-07-01","0","1990-01-01","1990-01-01"
"Diller Tract 2009 aka Landon Way Commons","State Road","2011-01-14","2011-01-14","2011-08-01","0","1990-01-01","1990-01-01"
"Prospect Ultra Wash","Standard","2009-08-27","2009-08-27","2010-01-01","0","1990-01-01","1990-01-01"
"D & B PROPERTIES","State Road","2010-03-12","2010-03-12","2011-07-01","0","1990-01-01","2012-08-21"
"Landis Homes - South Campus","Standard","2010-06-14","2011-09-30","2014-10-01","0","1990-01-01","1990-01-01"
"Celebrate Life Christian Church",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Long Community at Highland Phase 1 Bldgs 2 & 3B","Township Road","2010-10-15","2011-09-30","2014-10-01","0","2013-10-04","2013-03-14"
"Crossway Church of Lancaster","Township Road","2011-09-02","2012-07-05","2014-07-01","0","1990-01-01","2012-06-22"
"Cox - Detached Garage Bathroom","State Road","2009-04-13","2009-04-01","2010-03-15","0","1990-01-01","1990-01-01"
"Moore Business Park Existing Bldg Septic to Sewer",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Shakespeare Enterprises Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Village Commons","Standard","2009-07-28","2009-07-21","2010-01-01","0","1990-01-01","2010-05-18"
"Campus Plaza LLC","Standard","2009-10-23","2009-10-21","2010-10-06","0","1990-01-01","1990-01-01"
"Mennonite Disaster Service","State Road","2010-03-12","2010-03-12","2011-07-01","0","1990-01-01","2012-08-21"
"Country Manor Apartments","Township Road","2010-03-15","2010-03-16","2010-10-01","0","2010-09-27","2010-08-12"
"1500 Sunset Ave Lancaster Dave Costello Lot","Township Road","2009-08-14","2009-08-14","2010-08-01","0","1990-01-01","1990-01-01"
"Homestead Village Expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Centerville Square - Edward Jones Store",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Brethren Village Business Center Lot 2",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Stadel Volvo expansion",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Golden Meadows Park",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Luong Residence - Hess Blvd.","Township Road","2009-10-07","2009-10-07","2010-04-20","0","1990-01-01","1990-01-01"
"26 Hess Blvd - Dave Costello lot","Township Road","2009-08-25","2009-08-25","2010-08-01","0","1990-01-01","1990-01-01"
"Eden Resort Inn & Suites - Club Suite #6",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Ponessa Medical Massage Center",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Lancaster Toyota Mazda Subdivision","Township Road","1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Central Manor Elementary School additions",,"1990-01-01","1990-01-01","1990-01-01","0","1990-01-01","1990-01-01"
"Fulton Bank at Granite Run - Demo & Rebuild","Standard","2010-09-14","2010-09-27","2010-11-01","0","1990-01-01","1990-01-01"
"Hogan & Herr Bldrs / 152 Buch Ave Lot Subdivide","Township Road","2013-06-10","2013-05-29","2014-06-03","0","1990-01-01","1990-01-01"
"638 Bean Hill Rd Lot - Kauffman","Township Road","1990-01-01","2009-11-20","2010-04-25","0","1990-01-01","1990-01-01"
